SNn,Name,Symbol
131,Joshi Hydropower Development Company Ltd,JOSHI
132,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL
133,Upper Tamakoshi Hydropower Ltd,UPPER
134,Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL
135,Ghalemdi Hydro Limited,GHL
136,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL
137,SHIVAM CEMENTS LTD,SHIVM
138,UNIVERSAL POWER COMPANY LTD,UPCL
139,Mountain Hydro Nepal Limited,MHNL
140,Panchthar Power Compant Limited,PPCL
141,Ganapati Laghubitta Bittiya Sanstha Limited,GMFBS
142,Himalaya Urja Bikas Company Limited,HURJA
143,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL
144,Swabhimaan Laghubitta Bittiya Sanstha Limited,SMFBS
145,Union Hydropower Limited,UNHPL
146,Infinity Laghubitta Bittiya Sanstha Limited,ILBS
147,RASUWAGADHI HYDROPOWER COMPANY LIMITED,RHPL
148,SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL
149,Sabaiko Laghubitta Bittiya Sanstha Limited,SABSL
150,Saptakoshi Development Bank Ltd,SAPDBL
151,Himal Dolakha Hydropower Company Limited,HDHPC
152,Nepal Reinsurance Company Limited,NRIC
153,NIC ASIA Laghubitta Bittiya Sanstha Limited,NICLBSL
154,Sadhana Laghubitta Bittiya Sanstha Limited,SDLBSL
155,NRN Infrastructure and Development Limited,NRN
156,Liberty Energy Company Limited,LEC
157,Shiva Shree Hydropower Ltd,SSHL
158,Sanima GIC Insurance Limited,SGIC
159,Mountain Energy Nepal Limited,MEN
160,United IDI Mardi RB Hydropower Limited.,UMRH
161,Chandragiri Hills Limited,CGH
162,Nepal Infrastructure Bank Limited,NIFRA
163,GreenLife Hydropower Limited,GLH
164,Mahila Lagubitta Bittiya Sanstha Limited,MLBSL
165,Singati Hydro Energy Limited,SHEL
166,Ru Ru Jalbidhyut Pariyojana Limited,RURU
167,CEDB Hydropower Development Company Limited,CHDC
168,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,JBLB
169,Manakamana Smart Laghubitta Bittiya Sanstha Limited,MKLB
170,Samaj Laghubittya Bittiya Sanstha Limited,SAMAJ
171,Sanima Reliance Life Insurance Limited,SRLI
172,Mailung Khola Jal Vidhyut Company Limited,MKJC
173,Manushi Laghubitta Bittiya Sanstha Limited,MLBS
174,Sahas Urja Limited,SAHAS
175,Terhathum Power Company Limited,TPC
176,Samling Power Company Limited,SPC
177,Nyadi Hydropower Limited,NYADI
178,Madhya Bhotekoshi Jalavidyut Company Limited,MBJC
179,Buddha Bhumi Nepal Hydropower Company Limited,BNHC
180,Emerging Nepal Limited,ENL
181,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,JALPA
182,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,NESDO
183,Green Ventures Limited,GVL
184,Balephi Hydropower Limited,BHL
185,Upakar Laghubitta Bittiya Sanstha Limited,ULBSL
186,CYC Nepal Laghubitta Bittiya Sanstha Limited,CYCL
187,River Falls Power Limited,RFPL
188,Dordi Khola Jal Bidyut Company Limited,DORDI
189,Bindhyabasini Hydropower Development Company Limited,BHDC
190,Himalayan Hydropower Limited,HHL
191,Upper Hewakhola Hydropower Company Limited,UHEWA
192,Swet-Ganga Hydropower & Construction Limited,SGHC
193,Mandakini Hydropower Limited,MHL
194,Upper Solu Hydro Electric Company Limited,USHEC
195,Rapti Hydro And General Construction Limited,RHGCL
196,Aviyan Laghubitta Bittiya Sanstha Limited,AVYAN
197,Sayapatri Hydropower Limited,SPHL
198,People's Power Limited,PPL
199,Dhaulagiri Laghubitta Bittiya Sanstha Limited,DLBS
200,Sikles Hydropower Limited,SIKLES
201,Eastern Hydropower Limited,EHPL
202,Shrijanshil Laghubitta Bittiya Sanstha Limited,SHLB
203,Peoples Hydropower Company Limited,PHCL
204,Barahi Hydropower Public Limited,BHPL
205,Unique Nepal Laghubitta Bittiya Sanstha Limited,UNLB
206,Super Madi Hydropower Limited,SMHL
207,Shuvam Power Limited,SPL
208,Super Mai Hydropower Limited,SMH
209,Maya Khola Hydropower Company Limited,MKHC
210,Asian Hydropower Limited,AHL
211,Kalinchowk Darshan Limited,KDL
212,Sanima Middle Tamor Hydropower Limited,TAMOR
213,Molung Hydropower Company Limited,MHCL
214,Sagarmatha Jalabidhyut Company Limited,SMJC
215,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB
216,BPW Laghubitta Bittiya Sanstha Limited,BPW
217,Makar Jitumaya Suri Hydropower Limited,MAKAR
218,Mai Khola Hydropower Limited,MKHL
219,Dolti Power Company Limited,DOLTI
220,Bhugol Energy Development Company Limited,BEDC
221,City Hotel Limited,CITY
222,Menchhiyam Hydropower Limited,MCHL
223,Ingwa Hydropower Limited,IHL
224,Modi Energy Limited,MEL
225,Rawa Energy Development Limited,RAWA
226,Nepal Republic Media Limited,NRM
227,IME Life Insurance Company Limited,ILI
228,Upper Syange Hydropower Limited,USHL
229,Ghorahi Cement Industry Limited,GCIL
230,Three Star Hydropower Limited,TSHL
231,Kutheli Bukhari Small Hydropower Limited,KBSH
232,Reliable Nepal Life Insurance Limited,RNLI
233,Sun Nepal Life Insurance Company Limited,SNLI
234,Manakamana Engineering Hydropower Limited,MEHL
235,Upper Lohore Khola Hydropower Company Limited,ULHC
236,Citizen Life Insurance Company Limited,CLI
237,Mandu Hydropower Limited,MANDU
238,Hathway Investment Nepal Limited,HATHY
239,Bhagawati Hydropower Development Company Limited,BGWT
240,Mid Solu Hydropower Limited,MSHL
241,Sonapur Minerals And Oil Limited,SONA
242,Mathillo Mailun Khola Jalvidhyut Limited,MMKJL
